x0000,y0000,x0001,y0001
91.74110737,-0.0559077295, , ,
91.67364298,-0.1130647733, , ,
91.60627222,0.007363558348, , ,
91.53899491,0.05077310368, , ,
91.47181089,0.07587924383, , ,
91.40471998,0.04190273165, , ,
91.33772201,0.03800893446, , ,
91.2708168,0.002437561726, , ,
91.20400419,0.05285667416, , ,
91.13728401,-0.01736301697, , ,
91.07065608,-0.03398446822, , ,
91.00412024,-0.03082079976, , ,
90.93767631,-0.05740659082, , ,
90.87132413,-0.09496999379, , ,
90.80506353,-0.1700203706, , ,
90.73889433,-0.2238556166, , ,
90.67281638,-0.2507165726, , ,
90.60682949,-0.1737829564, , ,
90.54093352,-0.1128376383, , ,
90.47512828,-0.1171347882, , ,
90.40941362,-0.1234721378, , ,
90.34378936,-0.1612152101, , ,
90.27825534,-0.1190397389, , ,
90.2128114,-0.1730346378, , ,
90.14745737,-0.1887840897, , ,
90.08219308,-0.2000741803, , ,
90.01701838,-0.1071930064, , ,
89.95193309,-0.01727640735, , ,
89.88693706,-0.06731944065, , ,
89.82203011,-0.0432416072, , ,
89.7572121,-0.04183292678, , ,
